year,coa_name,canton_code,refugees
2021,1701-QUITO,1701,1488
2021,0101-CUENCA,0101,473
2021,2101-LAGO AGRIO,2101,458
2021,0901-GUAYAQUIL,0901,350
2021,1801-AMBATO,1801,342
2021,0401-TULCAN,0401,243
2021,2301-SANTO DOMINGO,2301,176
2021,0801-ESMERALDAS,0801,133
2021,1001-IBARRA,1001,102
2021,1004-OTAVALO,1004,78
2021,2201-ORELLANA,2201,55
2021,0805-SAN LORENZO,0805,40
2021,1308-MANTA,1308,35
2021,0403-ESPEJO,0403,27
2021,0406-SAN PEDRO DE HUACA,0406,27
2021,0405-MONTUFAR,0405,26
2021,1301-PORTOVIEJO,1301,20
2021,2105-SUCUMBIOS,2105,20
2021,1005-PIMAMPIRO,1005,9
2021,1317-PEDERNALES,1317,7
2021,2104-SHUSHUFINDI,2104,2
2021,0802-ELOY ALFARO,0802,1
